id, description, type, available
1206, description1205, type1205, 74
1207, description1206, type1206, 58
1208, description1207, type1207, 54
1209, description1208, type1208, 31
1210, description1209, type1209, 87
1211, description1210, type1210, 49
1212, description1211, type1211, 59
1213, description1212, type1212, 4
1214, description1213, type1213, 13
1215, description1214, type1214, 92
1216, description1215, type1215, 28
1217, description1216, type1216, 88
1218, description1217, type1217, 82
1219, description1218, type1218, 70
1220, description1219, type1219, 6
1221, description1220, type1220, 100
1222, description1221, type1221, 3
1223, description1222, type1222, 16
1224, description1223, type1223, 77
1225, description1224, type1224, 82
1226, description1225, type1225, 61
1227, description1226, type1226, 52
1228, description1227, type1227, 13
1229, description1228, type1228, 51
1230, description1229, type1229, 4
1231, description1230, type1230, 33
1232, description1231, type1231, 47
1233, description1232, type1232, 38
1234, description1233, type1233, 64
1235, description1234, type1234, 80
1236, description1235, type1235, 8
1237, description1236, type1236, 3
1238, description1237, type1237, 44
1239, description1238, type1238, 5
1240, description1239, type1239, 60
1241, description1240, type1240, 63
1242, description1241, type1241, 26
1243, description1242, type1242, 16
1244, description1243, type1243, 63
1245, description1244, type1244, 83
1246, description1245, type1245, 23
1247, description1246, type1246, 96
1248, description1247, type1247, 1
1249, description1248, type1248, 79
1250, description1249, type1249, 32
1251, description1250, type1250, 78
1252, description1251, type1251, 47
1253, description1252, type1252, 81
1254, description1253, type1253, 96
1255, description1254, type1254, 97
1256, description1255, type1255, 75
1257, description1256, type1256, 60
1258, description1257, type1257, 38
1259, description1258, type1258, 33
1260, description1259, type1259, 15
1261, description1260, type1260, 12
1262, description1261, type1261, 22
1263, description1262, type1262, 99
1264, description1263, type1263, 83
1265, description1264, type1264, 27
1266, description1265, type1265, 1
1267, description1266, type1266, 3
1268, description1267, type1267, 14
1269, description1268, type1268, 7
1270, description1269, type1269, 40
1271, description1270, type1270, 11
1272, description1271, type1271, 93
1273, description1272, type1272, 63
1274, description1273, type1273, 41
1275, description1274, type1274, 93
1276, description1275, type1275, 36
1277, description1276, type1276, 68
1278, description1277, type1277, 23
1279, description1278, type1278, 57
1280, description1279, type1279, 52
1281, description1280, type1280, 59
1282, description1281, type1281, 26
1283, description1282, type1282, 76
1284, description1283, type1283, 93
1285, description1284, type1284, 15
1286, description1285, type1285, 71
1287, description1286, type1286, 86
1288, description1287, type1287, 80
1289, description1288, type1288, 37
1290, description1289, type1289, 90
1291, description1290, type1290, 71
1292, description1291, type1291, 80
1293, description1292, type1292, 8
1294, description1293, type1293, 35
1295, description1294, type1294, 2
1296, description1295, type1295, 57
1297, description1296, type1296, 1
1298, description1297, type1297, 9
1299, description1298, type1298, 52
1300, description1299, type1299, 34
1301, description1300, type1300, 57
1302, description1301, type1301, 91
1303, description1302, type1302, 55
